template_id,template_ocr_text,class,subject,exam_type,semester,total_marks,section_labels,attempt_rule,marks_rule,per_question_mark,exam_date,date,last_updated
T011,,Not Specified,Machine Learning,Internal Examination,Not Specified,60.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt any 8 out of 9,A=Total 20 marks ? 5 marks per question | B=Total 40 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 09:48
T012,,SY Data Science,Machine Learning,Final,4,80.0,"A,B,C",A=Attempt any 5 out of 6 | B=Attempt any 4 out of 6 | C=Attempt all 2,A=Total 40 marks ? 8 marks per question | B=Total 20 marks ? 5 marks per question | C=Total 20 marks ? 10 marks per question,"A:8, B:5, C:10",2024-04-15,,2026-02-26 09:59
T013,,FY Computer Science,Machine Learning,Mid-Term,Not Specified,50.0,"A,B",A=Attempt any 10 out of 12 | B=Attempt any 4 out of 5,A=Total 30 marks ? 3 marks per question | B=Total 20 marks ? 5 marks per question,"A:3, B:5",2026-02-26,,2026-02-26 10:09
T014,,SY Artificial Intelligence,Machine Learning,Internal Examination,Not Specified,40.0,"A,B",A=Attempt any 4 out of 6 | B=Attempt all 4,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 10:22
T015,,SY Computer Science,Machine Learning,Internal Examination,Not Specified,70.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt any 6 out of 7,A=Total 40 marks ? 8 marks per question | B=Total 30 marks ? 5 marks per question,"A:8, B:5",2026-02-26,,2026-02-26 10:35
T016,,FY Information Technology,Machine Learning,Internal Examination,Not Specified,50.0,"A,B,C",A=Attempt any 4 out of 5 | B=Attempt any 4 out of 5 | C=Attempt any 5 out of 6,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question | C=Total 10 marks ? 2 marks per question,"A:5, B:5, C:2",2026-02-26,,2026-02-26 11:01
T017,,TY Data Science,Machine Learning,Internal Examination,Not Specified,70.0,"A,B",A=Attempt all 10 questions | B=Attempt any 5 out of 6,A=Total 30 marks ? 3 marks per question | B=Total 40 marks ? 8 marks per question,"A:3, B:8",2026-02-26,,2026-02-26 11:17
T018,,TY Computer Science,Machine Learning,End Semester Examination,6,60.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt all 4,A=Total 40 marks ? 8 marks per question | B=Total 20 marks ? 5 marks per question,"A:8, B:5",2026-02-26,,2026-02-26 11:40
T019,,TY Data Science,Machine Learning,End Semester Examination,Not Specified,70.0,"A,B,C,D",A=Attempt any 4 out of 5 | B=Attempt any 4 out of 5 | C=Attempt any 4 out of 5 | D=Attempt all 5,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question | C=Total 20 marks ? 5 marks per question | D=Total 10 marks ? 2 marks per question,"A:5, B:5, C:5, D:2",2026-02-26,,2026-02-26 11:50
T020,,FY Data Science,Machine Learning,Mid-Term,Not Specified,60.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt any 4 out of 5,A=Total 40 marks ? 8 marks per question | B=Total 20 marks ? 5 marks per question,"A:8, B:5",2026-02-26,,2026-02-26 12:00
T021,,FY Information Technology,Machine Learning,Internal Examination,Not Specified,40.0,"A,B",A=Attempt any 4 out of 6 | B=Attempt any 4 out of 6,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question,"A:5, B:5",2026-02-26,,2026-02-26 12:12
T022,,SY Information Technology,Machine Learning,Internal Examination,2,60.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt all 10,A=Total 40 marks ? 8 marks per question | B=Total 20 marks ? 2 marks per question,"A:8, B:2",2026-02-26,,2026-02-26 12:25
T023,,SY Information Technology,Machine Learning,Internal Examination,3,80.0,"A,B,C",A=Attempt any 4 out of 5 | B=Attempt any 5 out of 6 | C=Answer all 2,A=Total 20 marks ? 5 marks per question | B=Total 40 marks ? 8 marks per question | C=Total 20 marks ? 10 marks per question,"A:5, B:8, C:10",2026-02-26,,2026-02-26 12:38
T024,,FY Computer Science,Machine Learning,Internal Examination,1,20.0,A,A=Attempt any 4 out of 6,A=Total 20 marks ? 5 marks per question,A:5,2026-02-26,,2026-02-26 12:54
T025,,TY Computer Science,Machine Learning,End Semester Examination,6,80.0,"A,B",A=Attempt any 5 out of 6 | B=Attempt any 5 out of 6,A=Total 40 marks ? 8 marks per question | B=Total 40 marks ? 8 marks per question,"A:8, B:8",2026-02-26,,2026-02-26 13:07
T026,,SY Computer Science,Machine Learning,Internal Examination,2,40.0,A,A=Attempt any 5 out of 6,A=Total 40 marks ? 8 marks per question,A:8,2026-02-26,,2026-02-26 13:15
T027,,FY Data Science,Machine Learning,Internal Examination,2,20.0,A,A=Attempt any 4 out of 6,A=Total 20 marks ? 5 marks per question,A:5,2026-02-26,,2026-02-26 13:23
T028,,SY Information Technology,Machine Learning,Internal Examination,1,25.0,A,A=Attempt all 5 questions,A=Total 25 marks ? 5 marks per question,A:5,2026-02-26,,2026-02-26 13:30
T029,,FY Information Technology,Machine Learning,Internal Examination,2,40.0,"A,B",A=Attempt any 4 out of 5 | B=Attempt all 10 questions,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 2 marks per question,"A:5, B:2",2026-02-26,,2026-02-26 13:38
T030,,FY-Data Science,Machine Learning,Internal Examination,1,30.0,A,A=Answer any 10 questions,A=Total 30 marks ? 3 marks per question,A:3,2026-02-26,,2026-02-26 13:46
T031,,FY-Data Science,Machine Learning,Internal Examination,4,25.0,A,A=Answer all questions,A=Total 25 marks ? 5 marks per question,A:5,2026-02-26,,2026-02-26 14:03
T032,,SY-Data Science,Machine Learning,Internal Examination,3,40.0,"A,B",A=Attempt any 6 out of 7 | B=Attempt all 5,A=Total 30 marks ? 5 marks per question | B=Total 10 marks ? 2 marks per question,"A:5, B:2",2026-02-26,,2026-02-26 14:11
T033,,TY-Information Technology,Machine Learning,Internal Examination,3,20.0,A,A=Attempt any 4 out of 5,A=Total 20 marks ? 5 marks per question,A:5,2026-02-26,,2026-02-26 14:31
T001,,FY-Artificial Intelligence,Machine Learning,Internal Examination,4,60.0,"A,B,C",A=Attempt any 4 out of 6 | B=Attempt any 4 out of 5 | C=Attempt any 4 out of 6,A=Total 20 marks ? 5 marks per question | B=Total 20 marks ? 5 marks per question | C=Total 20 marks ? 5 marks per question,"A:5, B:5, C:5",2026-02-26,,2026-02-26 15:14
T034,,TY-Information Technology,Machine Learning,Internal Examination,2,20.0,A,A=Attempt any 4 out of 5,A=Total 20 marks ? 5 marks per question,A:5,2026-03-20,,2026-03-20 17:18
T035,,TY-Information Technology,Machine Learning,Internal Examination,3,20.0,A,A=Attempt All 2 questions,A=Total 20 marks? 10 marks per question,A:10,2026-09-19,,2026-09-19 15:24
